-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2021 
Location: Latitude  -70.0   Longitude 65.0 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1696.96 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS                    MERRA-2 Surface Pressure (kPa) 
TS                    MERRA-2 Earth Skin Temperature (C) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
WD10M                 MERRA-2 Wind Direction at 10 Meters (Degrees) 
WD50M                 MERRA-2 Wind Direction at 50 Meters (Degrees) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
WS50M                 MERRA-2 Wind Speed at 50 Meters (m/s) 
T2MDEW                MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
T2M_RANGE             MERRA-2 Temperature at 2 Meters Range (C) 
WS10M_MAX             MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS10M_MIN             MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
WS50M_MAX             MERRA-2 Wind Speed at 50 Meters Maximum (m/s) 
WS50M_MIN             MERRA-2 Wind Speed at 50 Meters Minimum (m/s) 
WS10M_RANGE           MERRA-2 Wind Speed at 10 Meters Range (m/s) 
WS50M_RANGE           MERRA-2 Wind Speed at 50 Meters Range (m/s) 
ALLSKY_SFC_LW_DWN     CERES SYN1deg All Sky Surface Longwave Downward Irradiance (W/m^2) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PS,1981,79.9,79.51,79.71,79.42,79.09,78.83,79.47,79.38,78.58,78.23,79.05,79.35,79.21
PS,1982,80.06,79.37,78.52,78.42,78.72,78.54,78.89,78.13,77.86,78.84,79.87,80.63,78.99
PS,1983,80.22,79.87,79.14,78.89,79.35,79.1,78.55,78.72,78.59,78.42,78.76,79.47,79.09
PS,1984,80.24,79.65,79.05,78.91,79.57,78.98,78.5,79.03,78.52,78.06,79.34,80.53,79.2
PS,1985,80.39,79.48,79.15,79.39,79.17,79.57,77.83,78.34,78.35,78.55,78.54,79.44,79.01
PS,1986,79.98,80.41,79.77,78.91,79.58,79.19,78.36,78.69,77.98,78.29,79.11,79.49,79.14
PS,1987,80.47,79.7,79.29,79.2,79.01,79.36,79.18,77.77,78.46,78.3,78.99,79.75,79.12
PS,1988,80.13,79.39,79.55,78.81,79.51,80.04,78.47,78.78,79.1,79.61,79.04,79.45,79.32
PS,1989,80.04,79.39,79.1,79.29,77.84,78.58,78.34,78.98,78.66,78.58,79.48,79.92,79.01
PS,1990,80.08,79.4,79.37,79.91,79.85,79.26,79.94,78.2,77.74,78.99,79.38,79.65,79.32
PS,1991,79.38,79.93,79.01,79.13,79.0,79.47,79.45,78.45,78.78,78.2,79.35,80.59,79.22
PS,1992,79.9,80.08,79.5,79.18,79.77,79.81,78.56,78.28,77.91,78.77,78.77,79.52,79.17
PS,1993,80.35,79.16,79.19,78.82,78.49,78.5,78.06,77.81,78.1,78.27,78.95,79.44,78.76
PS,1994,79.67,79.11,78.65,79.1,79.08,80.08,79.12,78.12,78.61,78.52,79.61,79.27,79.08
PS,1995,79.41,79.52,79.18,79.23,78.58,78.98,79.94,78.56,77.51,78.73,79.28,79.37,79.02
PS,1996,79.96,79.84,78.98,78.97,78.68,79.3,79.19,78.92,79.66,78.5,79.7,79.94,79.3
PS,1997,79.8,79.39,78.7,79.36,78.49,79.5,78.01,78.35,78.21,78.67,79.77,80.05,79.02
PS,1998,79.53,79.32,78.89,77.66,78.76,78.72,78.59,78.14,78.79,78.68,78.79,79.13,78.75
PS,1999,79.73,79.61,79.24,78.52,78.52,79.92,78.6,78.45,78.68,77.86,78.95,78.91,78.91
