-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2021 
Location: Latitude  70.0   Longitude 70.0 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 34.0 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS                    MERRA-2 Surface Pressure (kPa) 
TS                    MERRA-2 Earth Skin Temperature (C) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
WD10M                 MERRA-2 Wind Direction at 10 Meters (Degrees) 
WD50M                 MERRA-2 Wind Direction at 50 Meters (Degrees) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
WS50M                 MERRA-2 Wind Speed at 50 Meters (m/s) 
T2MDEW                MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
T2M_RANGE             MERRA-2 Temperature at 2 Meters Range (C) 
WS10M_MAX             MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS10M_MIN             MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
WS50M_MAX             MERRA-2 Wind Speed at 50 Meters Maximum (m/s) 
WS50M_MIN             MERRA-2 Wind Speed at 50 Meters Minimum (m/s) 
WS10M_RANGE           MERRA-2 Wind Speed at 10 Meters Range (m/s) 
WS50M_RANGE           MERRA-2 Wind Speed at 50 Meters Range (m/s) 
ALLSKY_SFC_LW_DWN     CERES SYN1deg All Sky Surface Longwave Downward Irradiance (W/m^2) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PS,1981,100.09,101.5,100.49,99.8,100.72,101.03,100.92,101.27,101.08,101.4,101.11,100.19,100.79
PS,1982,100.29,99.96,101.58,100.31,101.39,100.36,100.73,100.26,100.48,100.85,100.37,99.77,100.54
PS,1983,100.07,100.7,100.76,101.46,101.22,101.03,100.7,99.8,100.53,99.92,98.76,99.79,100.39
PS,1984,100.98,101.2,101.57,100.86,101.14,100.98,100.82,100.35,100.97,101.24,101.19,101.06,101.03
PS,1985,100.83,102.78,101.22,100.54,100.77,100.71,100.91,100.43,100.66,99.95,100.98,100.96,100.88
PS,1986,100.94,100.81,100.24,100.72,100.95,100.63,100.0,100.91,100.01,100.1,100.3,100.54,100.51
PS,1987,100.53,100.46,101.77,100.9,101.08,100.73,100.66,100.71,101.13,101.04,101.18,99.43,100.8
PS,1988,100.21,102.24,101.34,100.54,100.84,100.74,100.92,100.8,100.16,99.83,99.36,99.35,100.52
PS,1989,99.79,99.49,100.61,101.64,100.91,100.91,100.59,100.49,100.65,100.02,100.47,99.59,100.43
PS,1990,101.62,100.61,99.56,101.06,99.6,100.74,101.02,100.74,100.7,99.89,100.08,100.15,100.48
PS,1991,100.06,100.86,101.83,100.86,100.89,100.9,100.48,100.75,100.07,100.24,100.2,100.39,100.63
PS,1992,99.54,100.35,100.71,102.12,100.55,100.23,100.54,100.54,101.73,100.15,101.12,99.38,100.57
PS,1993,99.07,99.67,100.22,100.72,100.8,101.05,100.98,100.7,100.33,99.65,101.27,100.94,100.45
PS,1994,100.67,101.34,100.71,100.97,100.87,100.52,100.8,100.61,100.4,99.91,99.97,100.7,100.62
PS,1995,100.19,99.9,100.9,101.19,101.34,100.48,100.38,100.03,100.8,99.49,99.98,99.76,100.37
PS,1996,100.74,100.6,101.74,101.31,100.93,100.89,100.44,100.41,101.36,99.88,101.01,100.43,100.81
PS,1997,99.59,100.02,100.59,100.03,101.11,100.36,100.27,100.85,101.0,100.35,100.65,100.34,100.43
PS,1998,100.89,100.21,100.97,100.67,100.66,100.81,101.04,100.61,100.57,100.43,102.08,99.84,100.73
PS,1999,101.53,100.95,102.21,100.62,100.69,100.65,100.35,100.35,100.89,100.39,101.08,100.01,100.81
PS,2000,101.17,100.42,100.21,100.51,100.78,100.55,101.1,100.19,100.41,101.3,101.94,101.51,100.84
PS,2001,101.23,101.6,100.99,100.75,100.23,100.47,100.28,100.5,101.45,100.33,100.18,100.75,100.72
PS,2002,99.55,100.16,99.97,101.38,100.55,100.49,100.34,100.06,100.36,100.49,100.7,101.1,100.43
PS,2003,99.52,100.45,99.61,100.84,100.97,100.63,101.02,100.97,100.22,100.57,101.26,99.23,100.44
PS,2004,100.65,100.62,101.14,101.3,101.23,100.55,101.42,100.54,100.45,100.0,99.48,101.06,100.71
PS,2005,101.17,101.48,100.67,100.19,101.14,100.4,100.6,101.03,100.03,99.94,100.27,101.69,100.72
PS,2006,102.64,100.91,100.61,102.5,100.97,100.55,100.14,100.92,99.55,100.44,101.59,99.44,100.85
PS,2007,99.4,101.46,100.93,100.21,100.74,100.34,100.38,100.21,100.55,100.38,100.54,99.82,100.41
PS,2008,100.91,100.06,100.43,100.81,100.88,100.47,100.85,100.07,100.66,100.16,100.2,100.42,100.5
PS,2009,100.58,101.45,101.17,99.94,100.82,100.82,100.82,100.87,99.82,100.17,101.7,101.68,100.82
PS,2010,101.71,102.53,100.45,101.35,101.54,99.75,100.69,100.15,100.64,100.03,100.18,101.25,100.85
PS,2011,101.38,101.07,99.78,100.0,101.04,100.64,100.58,100.54,101.17,100.07,99.77,100.39,100.53
PS,2012,102.38,101.83,100.95,100.79,100.57,100.79,100.38,100.39,100.68,101.04,101.05,102.04,101.07
PS,2013,100.39,100.71,101.32,100.78,100.95,100.99,100.88,100.73,101.23,99.64,99.72,99.98,100.61
PS,2014,101.57,102.35,99.53,99.71,100.6,100.47,100.72,100.48,100.33,101.14,100.07,100.08,100.58
PS,2015,100.44,100.1,100.25,100.36,100.94,100.26,99.74,100.85,100.92,100.47,100.96,100.04,100.44
PS,2016,102.23,100.76,100.57,101.11,101.28,100.71,100.94,100.8,101.14,101.77,101.64,100.03,101.08
PS,2017,100.24,100.5,99.72,100.41,100.6,100.15,100.99,100.49,101.31,100.68,100.98,100.53,100.55
PS,2018,101.39,102.04,100.1,100.11,100.75,100.13,101.22,100.32,100.52,99.78,100.54,100.87,100.64
PS,2019,100.32,100.7,99.66,100.45,100.85,100.23,100.69,100.58,100.04,99.88,101.38,100.05,100.4
PS,2020,99.03,99.38,99.28,100.21,100.96,100.43,100.98,100.49,100.45,100.63,100.43,101.65,100.33
PS,2021,102.35,101.33,100.07,100.89,100.81,100.52,100.2,100.61,100.74,100.26,99.76,101.02,100.71
TS,1981,-16.76,-21.58,-24.76,-11.58,-6.2,5.45,9.42,12.64,3.51,-6.56,-11.61,-17.45,-7.04
TS,1982,-28.13,-24.75,-19.88,-8.07,-2.37,5.94,12.36,7.15,1.73,-12.73,-16.93,-17.43,-8.51
TS,1983,-20.33,-22.17,-16.72,-13.55,-5.21,3.92,11.85,9.5,3.8,-4.88,-15.61,-20.16,-7.37
TS,1984,-16.14,-14.83,-15.45,-18.36,-3.75,4.61,13.89,9.45,3.23,-9.95,-24.7,-19.65,-7.59
TS,1985,-29.23,-27.65,-16.25,-13.59,-4.74,6.96,10.48,8.71,4.54,-5.96,-16.7,-23.88,-8.84
TS,1986,-22.93,-27.65,-14.98,-12.66,-3.82,4.98,13.53,6.65,0.78,-5.76,-9.78,-31.78,-8.51
TS,1987,-29.42,-25.52,-17.76,-13.99,-2.48,1.68,12.44,7.27,2.9,-3.35,-17.72,-21.95,-8.88
TS,1988,-19.27,-25.43,-13.19,-17.17,-1.79,5.98,11.12,10.15,3.25,-7.13,-17.52,-19.18,-7.43
TS,1989,-29.59,-20.77,-12.85,-13.53,-0.73,6.42,12.93,9.45,2.86,-6.52,-16.06,-23.19,-7.56
TS,1990,-29.33,-23.27,-16.57,-5.93,-2.38,8.66,16.26,7.82,2.52,-8.86,-24.35,-22.71,-8.1
TS,1991,-22.94,-24.42,-18.29,-8.83,-2.3,7.81,10.96,8.63,5.67,-7.31,-16.4,-23.01,-7.45
TS,1992,-24.2,-19.6,-15.24,-15.53,-1.67,2.68,9.35,8.06,1.94,-13.41,-20.44,-19.25,-8.9
TS,1993,-18.84,-18.01,-14.42,-10.99,-3.78,10.51,12.56,9.08,2.87,-8.63,-10.95,-22.45,-6.03
TS,1994,-25.03,-31.87,-12.16,-8.09,-5.66,6.51,12.55,8.76,1.52,-5.43,-18.8,-21.11,-8.08
TS,1995,-16.35,-14.85,-13.5,-3.26,-2.49,5.0,11.85,10.99,2.94,-5.94,-19.53,-22.63,-5.6
TS,1996,-19.38,-16.4,-11.31,-10.24,-3.46,6.19,12.26,5.76,0.12,-4.95,-10.07,-20.96,-6.01
TS,1997,-28.72,-27.2,-14.02,-6.79,-1.5,3.81,7.54,6.98,4.95,-5.02,-18.17,-27.31,-8.69
TS,1998,-22.25,-31.02,-16.05,-12.46,-3.96,4.33,12.62,8.87,-0.7,-12.07,-23.74,-21.09,-9.63
TS,1999,-27.17,-19.02,-19.6,-12.39,-3.83,3.7,9.53,6.72,2.29,-6.77,-17.24,-17.52,-8.38
TS,2000,-26.67,-20.33,-14.0,-9.42,-2.31,6.45,10.51,11.19,1.05,-8.19,-19.91,-25.52,-8.06
TS,2001,-27.93,-25.35,-20.76,-11.43,-1.51,7.23,9.29,11.4,4.08,-8.62,-13.34,-15.79,-7.63
TS,2002,-26.93,-22.26,-16.05,-9.51,-3.42,5.54,9.62,8.35,0.3,-7.38,-15.94,-24.66,-8.45
TS,2003,-25.73,-23.23,-19.5,-9.65,-2.43,6.55,9.43,12.9,2.69,-6.17,-18.45,-18.71,-7.6
TS,2004,-22.65,-22.64,-18.43,-14.2,-3.67,6.95,13.25,7.09,1.88,-7.67,-12.24,-22.81,-7.88
TS,2005,-18.52,-18.7,-20.87,-13.38,-1.52,7.66,11.88,8.44,4.86,-4.17,-10.94,-19.44,-6.16
TS,2006,-29.1,-19.77,-18.06,-15.56,-1.81,7.55,12.58,7.56,1.37,-11.36,-20.92,-18.88,-8.8
TS,2007,-17.7,-32.34,-14.34,-6.34,-5.18,4.29,14.18,7.52,3.4,-1.11,-14.89,-19.95,-6.7
TS,2008,-15.13,-20.55,-19.52,-10.66,-3.65,4.3,12.24,9.52,4.12,-6.97,-16.81,-13.31,-6.31
TS,2009,-23.62,-28.66,-18.95,-11.43,-4.31,3.56,10.93,9.28,4.76,-5.02,-19.94,-30.69,-9.39
TS,2010,-23.79,-34.13,-16.89,-9.59,-2.21,4.56,8.59,6.8,0.72,-4.38,-21.27,-25.6,-9.6
TS,2011,-24.04,-25.05,-11.88,-6.77,-1.53,9.12,8.15,6.92,5.23,-3.94,-13.63,-12.2,-5.69
TS,2012,-19.25,-15.92,-16.95,-8.63,-2.62,10.55,12.05,7.72,4.6,-5.54,-16.68,-18.44,-5.74
TS,2013,-26.74,-20.2,-26.24,-7.65,-2.45,6.89,14.72,9.15,2.26,-8.13,-14.48,-24.41,-8.06
TS,2014,-31.28,-28.45,-12.17,-9.05,-3.04,6.98,8.8,6.63,1.26,-9.6,-17.88,-20.34,-8.9
TS,2015,-30.22,-25.2,-13.35,-6.77,0.35,9.83,11.65,8.14,2.98,-7.44,-17.04,-19.13,-7.09
TS,2016,-22.17,-15.16,-14.7,-6.02,-2.63,9.59,16.87,10.82,8.03,-2.01,-20.63,-31.07,-5.74
TS,2017,-22.98,-25.18,-8.8,-12.05,-5.11,4.91,13.98,7.16,2.1,-4.35,-16.52,-14.23,-6.62
TS,2018,-19.06,-21.38,-23.49,-11.02,-4.13,5.33,11.05,8.66,4.37,-5.17,-16.44,-17.32,-7.3
TS,2019,-24.9,-25.51,-12.78,-9.68,-1.85,4.04,12.55,9.93,3.36,-6.38,-19.42,-17.52,-7.22
