-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2021 
Location: Latitude  30.0   Longitude 60.0 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1285.38 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS                    MERRA-2 Surface Pressure (kPa) 
TS                    MERRA-2 Earth Skin Temperature (C) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
WD10M                 MERRA-2 Wind Direction at 10 Meters (Degrees) 
WD50M                 MERRA-2 Wind Direction at 50 Meters (Degrees) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
WS50M                 MERRA-2 Wind Speed at 50 Meters (m/s) 
T2MDEW                MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
T2M_RANGE             MERRA-2 Temperature at 2 Meters Range (C) 
WS10M_MAX             MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS10M_MIN             MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
WS50M_MAX             MERRA-2 Wind Speed at 50 Meters Maximum (m/s) 
WS50M_MIN             MERRA-2 Wind Speed at 50 Meters Minimum (m/s) 
WS10M_RANGE           MERRA-2 Wind Speed at 10 Meters Range (m/s) 
WS50M_RANGE           MERRA-2 Wind Speed at 50 Meters Range (m/s) 
ALLSKY_SFC_LW_DWN     CERES SYN1deg All Sky Surface Longwave Downward Irradiance (W/m^2) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PS,1981,87.49,87.29,87.19,87.13,87.03,86.69,86.36,86.58,87.1,87.52,87.53,87.57,87.12
PS,1982,87.37,87.18,87.18,87.12,87.17,86.7,86.46,86.51,87.17,87.43,87.49,87.52,87.11
PS,1983,87.53,87.32,87.25,87.09,86.95,86.72,86.41,86.46,86.89,87.41,87.72,87.58,87.11
PS,1984,87.35,87.53,87.31,87.06,86.88,86.44,86.36,86.38,87.04,87.52,87.58,87.56,87.08
PS,1985,87.4,87.05,87.31,86.99,86.93,86.51,86.35,86.65,87.01,87.4,87.57,87.51,87.06
PS,1986,87.45,87.25,87.15,87.14,87.08,86.46,86.53,86.69,87.17,87.55,87.54,87.58,87.13
PS,1987,87.66,87.48,87.09,87.26,87.1,86.71,86.6,86.59,87.09,87.52,87.64,87.66,87.2
PS,1988,87.43,87.32,87.09,87.17,86.98,86.63,86.33,86.57,87.0,87.46,87.64,87.52,87.09
PS,1989,87.32,87.42,87.06,87.18,87.04,86.61,86.45,86.61,86.94,87.42,87.63,87.48,87.09
PS,1990,87.44,87.16,87.33,86.99,86.81,86.48,86.34,86.54,86.86,87.43,87.61,87.46,87.04
PS,1991,87.4,87.37,87.16,87.14,86.78,86.58,86.34,86.5,87.02,87.44,87.6,87.47,87.06
PS,1992,87.41,87.17,87.18,87.04,87.07,86.56,86.39,86.66,87.03,87.36,87.62,87.52,87.08
PS,1993,87.45,87.42,87.29,87.13,86.98,86.61,86.44,86.72,86.94,87.6,87.56,87.66,87.15
PS,1994,87.43,87.16,87.29,87.17,87.01,86.4,86.19,86.46,87.18,87.55,87.58,87.64,87.09
PS,1995,87.58,87.33,87.25,87.11,87.03,86.6,86.17,86.5,86.96,87.39,87.5,87.64,87.09
PS,1996,87.49,87.26,87.11,87.15,87.05,86.61,86.49,86.63,86.83,87.38,87.66,87.68,87.11
PS,1997,87.38,87.37,87.08,87.08,87.09,86.62,86.28,86.57,87.07,87.46,87.59,87.48,87.09
PS,1998,87.34,87.33,87.27,87.14,87.04,86.75,86.4,86.69,86.99,87.36,87.59,87.74,87.14
PS,1999,87.4,87.4,87.09,87.11,86.87,86.6,86.39,86.59,86.9,87.35,87.49,87.73,87.07
PS,2000,87.38,87.27,87.18,87.07,86.75,86.55,86.48,86.61,86.9,87.38,87.59,87.54,87.06
PS,2001,87.46,87.3,87.2,87.02,86.77,86.43,86.37,86.68,87.03,87.37,87.55,87.71,87.07
PS,2002,87.46,87.45,87.29,87.02,86.86,86.61,86.59,86.54,87.08,87.41,87.58,87.48,87.11
PS,2003,87.5,87.19,87.26,87.19,87.06,86.56,86.31,86.64,86.96,87.39,87.58,87.67,87.11
PS,2004,87.3,87.43,87.36,87.07,86.85,86.62,86.54,86.58,87.11,87.58,87.56,87.47,87.12
PS,2005,87.42,87.21,87.19,87.29,87.0,86.57,86.45,86.6,86.94,87.47,87.58,87.65,87.11
PS,2006,87.41,87.42,87.14,87.08,86.91,86.7,86.38,86.58,87.01,87.49,87.43,87.53,87.09
PS,2007,87.67,87.14,87.14,87.19,87.07,86.45,86.4,86.6,86.93,87.57,87.47,87.56,87.1
PS,2008,87.38,87.58,87.18,87.02,86.8,86.38,86.34,86.59,86.98,87.45,87.64,87.52,87.07
PS,2009,87.45,87.26,87.13,87.16,86.98,86.83,86.36,86.59,86.97,87.44,87.46,87.46,87.09
PS,2010,87.55,87.24,87.34,87.11,86.86,86.64,86.45,86.68,87.01,87.22,87.55,87.47,87.09
PS,2011,87.38,87.03,87.27,87.12,86.91,86.41,86.43,86.46,86.85,87.28,87.36,87.62,87.01
PS,2012,87.27,87.28,87.18,87.03,86.95,86.59,86.39,86.58,86.97,87.45,87.52,87.47,87.06
PS,2013,87.44,87.32,87.21,87.0,86.85,86.35,86.26,86.53,86.83,87.33,87.55,87.6,87.02
PS,2014,87.53,87.33,87.23,87.2,86.92,86.63,86.43,86.63,86.89,87.42,87.55,87.67,87.12
PS,2015,87.51,87.27,87.35,87.18,87.03,86.58,86.46,86.76,87.18,87.45,87.54,87.72,87.17
PS,2016,87.47,87.54,87.19,87.09,86.87,86.68,86.42,86.73,86.88,87.37,87.71,87.6,87.13
PS,2017,87.41,87.44,87.24,87.24,87.0,86.59,86.49,86.68,87.08,87.32,87.53,87.74,87.15
PS,2018,87.33,87.35,87.21,87.09,87.03,86.52,86.29,86.54,87.09,87.54,87.65,87.58,87.1
PS,2019,87.52,87.31,87.17,87.15,87.07,86.8,86.32,86.6,86.99,87.42,87.59,87.56,87.12
PS,2020,87.4,87.5,87.2,87.22,87.08,86.6,86.51,86.41,87.09,87.49,87.66,87.64,87.15
PS,2021,87.58,87.46,87.21,87.23,86.94,86.66,86.4,86.72,86.87,87.39,87.57,87.6,87.13
TS,1981,8.86,12.03,18.15,24.55,28.73,33.19,33.86,30.47,26.22,19.17,14.48,10.55,21.73
TS,1982,8.18,8.27,14.19,22.72,29.1,33.01,33.41,30.87,25.75,22.36,13.08,7.3,20.76
TS,1983,7.08,8.73,12.87,20.76,31.23,34.76,35.15,33.64,28.96,19.77,14.72,7.73,21.35
TS,1984,6.51,7.7,17.37,24.55,28.99,31.68,32.68,32.72,25.45,18.27,15.89,7.55,20.81
TS,1985,9.33,11.98,16.54,22.01,28.72,33.12,33.83,28.83,25.68,19.91,14.71,9.16,21.2
TS,1986,7.69,9.44,14.11,23.92,30.14,34.55,32.37,29.82,25.51,22.91,14.8,7.98,21.16
TS,1987,8.87,12.43,16.83,23.83,29.7,31.92,33.43,32.42,28.85,20.26,14.89,10.39,22.04
TS,1988,8.21,11.08,17.01,24.91,31.42,35.08,35.23,32.12,28.11,21.38,15.64,11.44,22.66
TS,1989,6.62,8.18,15.92,23.21,28.83,33.94,34.05,31.27,27.91,22.45,15.93,10.51,21.64
TS,1990,8.5,11.1,16.52,23.74,31.35,34.38,34.73,34.31,28.29,21.94,15.65,9.85,22.59
TS,1991,8.46,8.77,14.76,22.73,29.45,33.65,35.29,32.2,27.5,21.11,15.17,10.37,21.69
TS,1992,6.5,9.98,13.69,21.83,26.85,35.43,34.12,30.9,25.88,20.65,16.1,10.91,21.09
TS,1993,7.45,11.83,15.26,24.34,30.66,34.15,33.49,31.0,27.54,20.34,16.01,10.97,21.97
TS,1994,8.65,10.33,16.83,22.91,30.45,34.68,34.9,33.55,24.55,21.67,17.58,8.87,22.15
TS,1995,9.52,10.93,14.7,22.8,28.62,34.01,35.31,32.2,27.76,22.4,15.19,8.99,21.93
TS,1996,6.0,11.59,15.72,22.83,29.12,33.73,32.04,30.55,29.04,21.07,13.36,9.95,21.26
TS,1997,8.54,10.66,15.12,21.5,27.87,34.58,35.12,32.11,28.52,23.15,13.53,9.55,21.75
TS,1998,8.41,10.38,16.97,24.61,30.25,31.98,34.38,32.73,29.25,22.95,16.73,13.73,22.76
TS,1999,8.54,13.96,17.19,25.48,29.72,35.17,34.69,32.08,29.1,23.67,17.05,10.34,23.12
TS,2000,8.72,11.07,16.54,27.33,33.83,32.59,31.65,31.23,29.87,23.35,14.02,10.58,22.59
TS,2001,7.97,11.29,18.2,26.92,33.01,34.15,34.51,31.46,29.1,22.95,15.83,14.04,23.35
TS,2002,9.64,12.02,18.39,24.79,31.93,34.13,32.69,33.12,27.8,23.55,14.73,9.55,22.76
TS,2003,9.8,13.42,17.18,25.14,29.01,34.48,35.63,31.99,27.82,23.65,13.08,9.78,22.63
TS,2004,10.42,13.61,20.3,24.57,31.19,33.59,33.11,30.67,26.89,21.3,16.9,10.29,22.76
TS,2005,6.91,9.05,16.5,23.62,28.9,33.48,34.41,31.74,29.74,23.55,15.15,10.76,22.05
TS,2006,7.62,14.48,17.8,24.8,33.37,32.12,34.16,31.16,27.48,25.21,16.08,7.74,22.71
TS,2007,7.26,11.87,15.94,25.83,29.42,34.12,33.82,30.44,25.64,19.58,17.23,9.53,21.76
TS,2008,4.49,9.16,19.95,24.94,32.35,36.23,35.48,31.28,28.84,24.36,14.42,9.32,22.61
TS,2009,7.58,13.78,18.64,20.58,31.4,31.48,34.25,35.68,29.98,22.04,15.88,9.98,22.65
TS,2010,10.09,12.58,20.73,26.17,31.63,33.72,34.14,31.4,26.7,24.24,13.99,9.21,22.94
TS,2011,9.29,10.3,16.91,24.96,32.88,35.67,33.73,34.21,28.97,23.41,17.03,8.38,23.05
TS,2012,8.56,8.65,16.05,24.32,31.48,32.26,34.74,31.62,27.59,22.06,16.05,9.57,21.95
TS,2013,8.87,12.47,18.72,23.19,30.17,35.3,35.11,33.05,30.5,24.45,15.37,9.13,23.08
TS,2014,7.35,7.81,15.9,24.73,29.84,34.15,34.12,32.01,29.9,23.62,14.44,9.4,22.01
TS,2015,9.98,12.79,14.21,25.52,30.9,33.91,34.71,31.98,26.79,24.45,14.55,9.23,22.47
TS,2016,9.76,12.67,17.24,24.02,32.55,34.0,35.8,30.26,31.1,23.51,14.52,13.85,23.3
TS,2017,9.62,10.38,16.49,25.56,32.54,35.84,33.89,31.15,26.96,24.3,15.74,9.36,22.72
TS,2018,9.55,13.41,20.26,25.56,29.28,35.76,34.58,31.9,27.91,22.21,15.95,11.49,23.2
